Unnamed: 0,home_team,away_team,result_full,result_ht,Match Excitement,Home Team Rating,Away Team Rating,home_possession,away_possession,Home Team Off Target Shots,home_shots_on_target,home_shots,home_tackles,home_corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,home_clearances,home_fouls_conceded,home_yellow_cards,Home Team Second Yellow Cards,home_red_cards,away_shots,away_shots_on_target,away_shots,away_tackles,away_corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,away_clearances,away_fouls_conceded,away_yellow_cards,Away Team Second Yellow Cards,away_red_cards,goal_home_ft,goal_away_ft,Home Team Goals Conceeded,Away Team Goals Conceeded,season,home_shots,sg_match_ft
0,MÁLAGA,ATHLETIC,1-0,1-0,4.4,6.0,5.7,40,60,5.0,3.0,12.0,4.0,5.0,13.0,69.0,11.0,16.0,13.0,3.0,0.0,2.0,5.0,5.0,12.0,2.0,4.0,22.0,84.0,17.0,14.0,9.0,3.0,0.0,0.0,1,0,0,1,2014,8.0,1
1,SEVILLA FC,VALENCIA,1-1,1-0,4.7,6.5,6.8,47,53,4.0,3.0,12.0,5.0,3.0,20.0,76.0,13.0,16.0,23.0,4.0,0.0,0.0,5.0,1.0,11.0,5.0,3.0,27.0,79.0,14.0,16.0,8.0,2.0,0.0,1.0,1,1,1,1,2014,7.0,0
2,GRANADA,DEPORTIVO,2-1,0-1,4.6,7.2,5.9,53,47,6.0,3.0,10.0,1.0,5.0,25.0,79.0,20.0,21.0,13.0,1.0,0.0,0.0,1.0,1.0,8.0,6.0,3.0,30.0,76.0,10.0,14.0,26.0,3.0,0.0,0.0,2,1,1,2,2014,9.0,1
3,ALMERÍA,ESPANYOL,1-1,0-0,5.6,6.9,5.5,56,44,7.0,6.0,19.0,6.0,11.0,26.0,81.0,19.0,25.0,8.0,3.0,0.0,0.0,6.0,2.0,12.0,4.0,7.0,19.0,70.0,11.0,20.0,9.0,3.0,1.0,0.0,1,1,1,1,2014,13.0,0
4,EIBAR,REAL SOCIEDAD,1-0,1-0,3.7,6.5,5.9,41,59,5.0,5.0,12.0,2.0,5.0,28.0,60.0,29.0,17.0,13.0,4.0,0.0,0.0,7.0,4.0,19.0,8.0,6.0,36.0,75.0,25.0,20.0,14.0,1.0,0.0,0.0,1,0,0,1,2014,10.0,1
5,BARCELONA,ELCHE,3-0,1-0,5.1,8.0,5.3,72,28,5.0,6.0,12.0,1.0,3.0,23.0,93.0,2.0,2.0,11.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,19.0,81.0,4.0,17.0,13.0,1.0,0.0,0.0,3,0,0,3,2014,11.0,3
6,CELTA,GETAFE,3-1,1-0,7.0,7.3,5.5,59,41,4.0,9.0,20.0,7.0,4.0,21.0,82.0,27.0,15.0,19.0,4.0,0.0,0.0,8.0,3.0,12.0,1.0,4.0,19.0,74.0,22.0,7.0,15.0,1.0,0.0,0.0,3,1,1,3,2014,13.0,2
7,LEVANTE,VILLARREAL,0-2,0-0,4.7,5.6,7.3,53,47,4.0,2.0,9.0,3.0,3.0,16.0,80.0,19.0,12.0,11.0,1.0,0.0,0.0,5.0,6.0,12.0,1.0,4.0,14.0,78.0,21.0,18.0,14.0,3.0,0.0,0.0,0,2,2,0,2014,6.0,-2
8,REAL MADRID,CÓRDOBA,2-0,1-0,4.7,6.9,5.5,63,37,3.0,8.0,14.0,3.0,8.0,25.0,88.0,23.0,13.0,9.0,1.0,0.0,0.0,6.0,2.0,8.0,0.0,5.0,18.0,79.0,15.0,27.0,13.0,2.0,0.0,0.0,2,0,0,2,2014,11.0,2
9,RAYO VALLECANO,ATLETICO MADRID,0-0,0-0,2.1,6.9,5.9,59,41,5.0,2.0,8.0,1.0,2.0,23.0,79.0,21.0,20.0,13.0,2.0,0.0,0.0,3.0,2.0,9.0,4.0,4.0,34.0,68.0,26.0,15.0,17.0,2.0,0.0,0.0,0,0,0,0,2014,7.0,0
