algorithm,top_n,fitness_tok.perc_fit_traces,fitness_tok.average_trace_fitness,fitness_tok.log_fitness,fitness_tok.percentage_of_fitting_traces,fitness_align.perc_fit_traces,fitness_align.average_trace_fitness,fitness_align.average_fitness,fitness_align.log_fitness,fitness_align.percentage_of_fitting_traces,precision_token_replay,precision_alignments,generalization_tbr
alpha_miner,10,54.22698320787493,0.9306455966731652,0.9436693293864136,54.22698320787493,54.22698320787493,0.8819286040484018,0.8819286040484018,0.8956446183211457,54.22698320787493,0.9063360375903968,0.9063360375903968,0.6038588923537662
inductive_miner,10,80.34163288940358,0.9814559605291334,0.9817393762366908,80.34163288940358,80.34163288940358,0.9658593175968023,0.9658593175968023,0.9678513275015556,80.34163288940358,0.7286526145491454,0.7286526145491454,0.9284397875809393
heuristics_miner,10,54.22698320787493,0.9306455966731652,0.9436693293864136,54.22698320787493,54.22698320787493,0.8819286040484018,0.8819286040484018,0.8956446183211457,54.22698320787493,0.9063360375903968,0.9063360375903968,0.6038588923537662
alpha_miner,20,1.563404748118124,0.6347990319093122,0.6288337509279047,1.563404748118124,0.01447596988998263,0.45696638021573954,0.45696638021573954,0.38506541477015466,0.01447596988998263,0.8683927829312089,0.8683927829312089,0.8793770763071189
inductive_miner,20,83.13549507817024,0.9866928934734127,0.9868331259283047,83.13549507817024,83.13549507817024,0.9700335121062634,0.9700335121062634,0.9723460674130695,83.13549507817024,0.7042262134369501,0.7042262134369501,0.934277457590266
heuristics_miner,20,54.22698320787493,0.9306455966731652,0.9436693293864136,54.22698320787493,54.22698320787493,0.8819286040484018,0.8819286040484018,0.8956446183211457,54.22698320787493,1.0,1.0,0.6038588923537662
alpha_miner,30,1.9397799652576722,0.493776821288356,0.47265668516552956,1.9397799652576722,0.2895193977996526,0.18751841333609903,0.18751841333609903,0.16009244592173255,0.2895193977996526,0.993676379417235,0.993676379417235,0.8793770763071189
inductive_miner,30,97.17718587145339,0.9990018586803474,0.9989703666499247,97.17718587145339,97.17718587145339,0.9968417465302348,0.9968417465302348,0.996915176393853,97.17718587145339,0.6360188448962938,0.636014271976417,0.9362596100232231
heuristics_miner,30,55.442964678633466,0.9439292229428119,0.9572811194581492,55.442964678633466,55.442964678633466,0.8302078508061059,0.8302078508061059,0.8690972961538295,55.442964678633466,0.999985987136191,0.999985987136191,0.56999524562201
alpha_miner,50,1.9687319050376375,0.4743029880220317,0.41588328632115834,1.9687319050376375,0.2895193977996526,0.28149939169692406,0.28149939169692406,0.24320288763665632,0.2895193977996526,0.9710015262354613,0.9710015262354613,0.8793770763071189
inductive_miner,50,96.12044006948466,0.9979218215470954,0.9978367837171159,96.12044006948466,96.12044006948466,0.9956961401245314,0.9956961401245314,0.9952765378080844,96.12044006948466,0.6488396461672177,0.6488396461672177,0.9195987556034315
heuristics_miner,50,56.195715112912566,0.9513057302195155,0.9635636341803882,56.195715112912566,56.195715112912566,0.8407956340434295,0.8407956340434295,0.8747235423141855,56.195715112912566,0.9999767738938566,0.9999767738938566,0.6146690227432008
alpha_miner,70,2.026635784597568,0.5798535735747076,0.5205814030336735,2.026635784597568,0.2895193977996526,0.31679054888097424,0.31679054888097424,0.27871406684151756,0.2895193977996526,0.8065155069064374,0.8065155069064374,0.8793770763071189
inductive_miner,70,98.04574406485234,0.9993180696457844,0.999248258465445,98.04574406485234,98.04574406485234,0.9984747613414416,0.9984747613414416,0.9980231555845694,98.04574406485234,0.6403311939467807,0.6403311939467807,0.919631338255894
heuristics_miner,70,56.35495078170237,0.9534391023478612,0.9658677721028281,56.35495078170237,56.35495078170237,0.8416470307033945,0.8416470307033945,0.8752972277824677,56.35495078170237,0.9999785543486419,0.9999785543486419,0.6319659084210569
alpha_miner,100,1.98320787492762,0.5684566857582387,0.5102016291100322,1.98320787492762,0.2895193977996526,0.21530655556966977,0.21530655556966977,0.16973954140590508,0.2895193977996526,0.8015897190432676,0.8015897190432676,0.8793770763071189
inductive_miner,100,100.0,1.0,1.0,100.0,100.0,1.0,1.0,0.9998910336002229,100.0,0.6304972743966337,0.6304972743966337,0.9134093173721154
heuristics_miner,100,60.10422698320787,0.9589486707333458,0.9705196324143692,60.10422698320787,60.10422698320787,0.8587073180776824,0.8587073180776824,0.8902942347176674,60.10422698320787,0.9982765538371754,0.9982765538371754,0.6221916313910918
