case_id,activity,timestamp
1,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
1,Check Q2 (TA1) HALF,2025-06-01 08:46:29.126274
1,Check Q3 (TA1),2025-06-01 09:32:00.171151
1,Check Q2 (TA2) HALF,2025-06-01 10:26:01.246618
1,Check Q3 (TA2),2025-06-01 11:05:55.735815
1,Calculate Grade,2025-06-01 12:04:21.266179
1,Re-check Exam (Lecturer) And Publish,2025-06-01 12:36:13.560139
2,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
2,Check Q2 (TA1) HALF,2025-06-01 08:31:25.023576
2,Check Q3 (TA1),2025-06-01 09:24:13.371120
2,Check Q2 (TA2) HALF,2025-06-01 10:19:18.746081
2,Check Q3 (TA2),2025-06-01 11:12:56.714260
2,Calculate Grade,2025-06-01 11:53:36.361936
2,Re-check Exam (Lecturer) And Publish,2025-06-01 12:47:27.126272
3,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
3,Check Q2 (TA1) HALF,2025-06-01 08:26:22.012981
3,Check Q3 (TA1),2025-06-01 09:17:17.996932
3,Check Q2 (TA2) HALF,2025-06-01 09:51:53.498211
3,Check Q3 (TA2),2025-06-01 10:46:39.582814
3,Calculate Grade,2025-06-01 11:36:37.629172
3,Re-check Exam (Lecturer) And Publish,2025-06-01 11:59:14.102869
4,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
4,Check Q2 (TA1) HALF,2025-06-01 08:57:30.570859
4,Check Q3 (TA1),2025-06-01 09:18:43.664642
4,Check Q2 (TA2) HALF,2025-06-01 09:51:58.499924
4,Check Q3 (TA2),2025-06-01 10:26:22.176526
4,Calculate Grade,2025-06-01 11:09:33.834886
4,Re-check Exam (Lecturer) And Publish,2025-06-01 11:31:45.584536
5,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
5,Check Q2 (TA1) HALF,2025-06-01 08:44:55.665829
5,Check Q3 (TA1),2025-06-01 09:39:13.824626
5,Check Q2 (TA2) HALF,2025-06-01 10:23:13.312378
5,Check Q3 (TA2),2025-06-01 10:53:34.321119
5,Calculate Grade,2025-06-01 11:17:39.348478
5,Re-check Exam (Lecturer) And Publish,2025-06-01 11:36:56.667465
6,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
6,Check Q2 (TA1) HALF,2025-06-01 08:22:54.947045
6,Check Q3 (TA1),2025-06-01 08:57:00.836274
6,Check Q2 (TA2) HALF,2025-06-01 09:30:25.504813
6,Check Q3 (TA2),2025-06-01 09:44:26.950491
6,Calculate Grade,2025-06-01 10:37:53.649738
6,Publish Grade,2025-06-01 10:58:23.436876
7,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
